Bundesland / Messnetz;Stationscode;Stationsname;Stationsumgebung;Art der Station;Jahresmittelwert in µg/m³;Zahl der Tagesmittelwerte über 125 µg/m³;Zahl der Stundenmittelwerte über 350 µg/m³;Wintermittelwert in µg/m³
Schleswig-Holstein;DESH035;Brunsbüttel-Cuxhavener Straße;städtisches Gebiet;Hintergrund;0,94;0;0;0,83
Sachsen;DESN001;Annaberg-Buchholz;städtisches Gebiet;Hintergrund;0,92;0;0;1,3
Sachsen;DESN024;Klingenthal;städtisches Gebiet;Hintergrund;0,61;0;0;0,73
Sachsen;DESN092;Dresden-Winckelmannstr.;städtisches Gebiet;Hintergrund;1,4;0;0;1,4
Sachsen-Anhalt;DEST011;Wernigerode/Bahnhof;städtisches Gebiet;Hintergrund;1,8;0;0;1,3
Thüringen;DETH009;Gera Friedericistr.;städtisches Gebiet;Hintergrund;0,89;0;0;0,9
Thüringen;DETH020;Erfurt Krämpferstr.;städtisches Gebiet;Hintergrund;0,83;0;0;0,87
Nordrhein-Westfalen;DENW431;Düsseldorf-Lohausen;städtisches Gebiet;Hintergrund;1,1;0;0;
Brandenburg;DEBB029;Schwedt (Oder);vorstädtisches Gebiet;Industrie;2,3;0;0;1,8
Brandenburg;DEBB032;Eisenhüttenstadt;vorstädtisches Gebiet;Industrie;2,1;0;0;1,9
Baden-Württemberg;DEBW005;Mannheim-Nord;vorstädtisches Gebiet;Industrie;2,8;0;0;3,9
Sachsen-Anhalt;DEST015;Bitterfeld/Wolfen;vorstädtisches Gebiet;Industrie;1,9;0;0;1,5
Sachsen-Anhalt;DEST090;Leuna;vorstädtisches Gebiet;Industrie;3,2;0;0;3,8
Baden-Württemberg;DEBW029;Aalen;vorstädtisches Gebiet;Hintergrund;0,94;0;0;1,2
Hessen;DEHE135;Frankfurt-Schwanheim;vorstädtisches Gebiet;Hintergrund;0,89;0;0;0,94
Mecklenburg-Vorpommern;DEMV007;Rostock-Stuthof;vorstädtisches Gebiet;Hintergrund;0,69;0;0;1
Nordrhein-Westfalen;DENW002;Datteln-Hagem;vorstädtisches Gebiet;Hintergrund;3,8;0;0;4,6
Nordrhein-Westfalen;DENW040;Duisburg-Buchholz;vorstädtisches Gebiet;Hintergrund;4,1;0;0;3,7
Saarland;DESL006;Lauterbach;vorstädtisches Gebiet;Hintergrund;1,4;0;0;1,6
Sachsen;DESN045;Zittau-Ost;vorstädtisches Gebiet;Hintergrund;1,1;0;0;1,6
Brandenburg;DEBB110;Dallgow-Döberitz;vorstädtisches Gebiet;Hintergrund;2,1;0;0;1,9
Brandenburg;DEBB112;Wildau;vorstädtisches Gebiet;Hintergrund;1,8;0;0;2,1
