Bundesland / Messnetz;Stationscode;Stationsname;Stationsumgebung;Art der Station;Jahresmittelwert in µg/m³
Nordrhein-Westfalen;DENW200;Bielefeld Detmolder Straße;städtisches Gebiet;Verkehr;9,6
Nordrhein-Westfalen;DENW188;Oberhausen Mülheimer Straße 117;städtisches Gebiet;Verkehr;9,6
Nordrhein-Westfalen;DENW136;Dortmund Brackeler Straße;städtisches Gebiet;Verkehr;9,6
Nordrhein-Westfalen;DENW133;Hagen Graf-von-Galen-Ring;städtisches Gebiet;Verkehr;9,9
Nordrhein-Westfalen;DENW082;Düsseldorf Corneliusstraße;städtisches Gebiet;Verkehr;11
Nordrhein-Westfalen;DENW043;Essen-Ost Steeler Straße;städtisches Gebiet;Verkehr;10
Niedersachsen;DENI143;Oldenburg Heiligengeistwall;städtisches Gebiet;Verkehr;9,1
Niedersachsen;DENI075;Braunschweig-Verkehr;städtisches Gebiet;Verkehr;7,3
Niedersachsen;DENI068;Göttingen-Verkehr;städtisches Gebiet;Verkehr;7,6
Niedersachsen;DENI067;Osnabrück-Verkehr;städtisches Gebiet;Verkehr;9,5
Niedersachsen;DENI066;Hildesheim Verkehr;städtisches Gebiet;Verkehr;7,7
Niedersachsen;DENI048;Hannover Verkehr;städtisches Gebiet;Verkehr;7,8
Mecklenburg-Vorpommern;DEMV058;Neubrandenburg Woldegker Straße;städtisches Gebiet;Verkehr;8,7
Mecklenburg-Vorpommern;DEMV027;Wolgast-Oberwallstraße;städtisches Gebiet;Verkehr;8,3
Mecklenburg-Vorpommern;DEMV025;Stralsund-Knieperdamm;städtisches Gebiet;Verkehr;7,9
Mecklenburg-Vorpommern;DEMV022;Rostock-Holbeinplatz;städtisches Gebiet;Verkehr;9,1
Mecklenburg-Vorpommern;DEMV020;Rostock Am Strande;städtisches Gebiet;Verkehr;9,2
Hamburg;DEHH068;Hamburg Habichtstraße;städtisches Gebiet;Verkehr;9,8
Hamburg;DEHH064;Hamburg Kieler Straße;städtisches Gebiet;Verkehr;9,5
Hessen;DEHE131;Limburg Schiede;städtisches Gebiet;Verkehr;8,8
Hessen;DEHE112;Wiesbaden Schiersteiner Straße;städtisches Gebiet;Verkehr;7,8
Hessen;DEHE063;Heppenheim Lehrstraße;städtisches Gebiet;Verkehr;8,4
Hessen;DEHE062;Marburg Universitätsstraße;städtisches Gebiet;Verkehr;7,7
Hessen;DEHE061;Gießen Westanlage;städtisches Gebiet;Verkehr;7,8
Hessen;DEHE059;Fulda Petersberger Straße;städtisches Gebiet;Verkehr;8
Hessen;DEHE049;Kassel Fünffensterstraße;städtisches Gebiet;Verkehr;9,1
Hessen;DEHE041;Frankfurt Friedberger Landstraße;städtisches Gebiet;Verkehr;9
Hessen;DEHE040;Darmstadt Hügelstraße;städtisches Gebiet;Verkehr;7,9
Hessen;DEHE037;Wiesbaden Ringkirche;städtisches Gebiet;Verkehr;7,5
Bayern;DEBY121;Oberaudorf/Inntal-Autobahn;ländlich stadtnah;Verkehr;9,9
Bayern;DEBY115;München/Landshuter Allee;städtisches Gebiet;Verkehr;9,9
Bayern;DEBY053;Nürnberg/Bahnhof;städtisches Gebiet;Verkehr;9,4
Bayern;DEBY037;München/Stachus;städtisches Gebiet;Verkehr;9,5
Bayern;DEBY035;Lindau (Bodensee)/Friedrichshafener Straße;städtisches Gebiet;Verkehr;9,1
Bayern;DEBY028;Kelheim/Regensburger Straße;städtisches Gebiet;Verkehr;9,6
Bayern;DEBY014;Coburg/Lossaustraße;städtisches Gebiet;Verkehr;8,6
Bayern;DEBY001;Ansbach/Residenzstraße;städtisches Gebiet;Verkehr;9,2
Baden-Württemberg;DEBW156;Schramberg Oberndorfer Straße;städtisches Gebiet;Verkehr;7,3
Baden-Württemberg;DEBW152;Heilbronn Weinsberger Straße-Ost;städtisches Gebiet;Verkehr;8,3
Baden-Württemberg;DEBW147;Reutlingen Lederstraße-Ost;städtisches Gebiet;Verkehr;7,7
Baden-Württemberg;DEBW125;Pfinztal Karlsruher Straße;vorstädtisches Gebiet;Verkehr;8,7
Baden-Württemberg;DEBW122;Freiburg Schwarzwaldstraße;städtisches Gebiet;Verkehr;6,9
Baden-Württemberg;DEBW118;Stuttgart Am Neckartor;städtisches Gebiet;Verkehr;8,4
Baden-Württemberg;DEBW099;Stuttgart Arnulf-Klett-Platz;städtisches Gebiet;Verkehr;9
Baden-Württemberg;DEBW098;Mannheim Friedrichsring;städtisches Gebiet;Verkehr;8,8
Baden-Württemberg;DEBW080;Karlsruhe Reinhold-Frank-Straße;städtisches Gebiet;Verkehr;7,9
Berlin;DEBE065;Berlin Frankfurter Allee;städtisches Gebiet;Verkehr;12
Brandenburg;DEBB073;Potsdam, Großbeerenstr.;städtisches Gebiet;Verkehr;9,4
Brandenburg;DEBB068;Bernau, Lohmühlenstr.;städtisches Gebiet;Verkehr;10
Brandenburg;DEBB060;Eberswalde, Breite Straße;städtisches Gebiet;Verkehr;9,5
Brandenburg;DEBB054;Potsdam, Zeppelinstr.;städtisches Gebiet;Verkehr;8,2
Brandenburg;DEBB049;Brandenburg, Neuendorfer Str.;städtisches Gebiet;Verkehr;8,6
Brandenburg;DEBB045;Frankfurt (Oder), Leipziger Str.;städtisches Gebiet;Verkehr;9,9
Brandenburg;DEBB044;Cottbus, Bahnhofstr.;städtisches Gebiet;Verkehr;9,6
